# charactristic, type, id, mat1, mat2, tmat, weight, delta
b18b1262823a8320633136ee04dc90d5,64,0,9b441368,fdd8bf76,8d6fefff7fbefffe,53,1
e5f9ae9c5b88fc690dd373a706c7cce9,64,0,bde217bc,fcec3f3b,09623dfafebf7ffe,71,0
b4a31cfe2c250e8a492723653555b275,64,0,bb64176c,fcd8bf36,78f318fbdbfffffe,61,0
aa9443c210a8a627215a5653a986a195,64,0,59860b30,fbc8bef2,d9eb76b9dfbefffe,53,0
93f5bf716aa2b38ecaf84187ecf91b53,64,0,419e0833,fb08bec2,1c76c5f5bfbf3ffe,71,0
cc3aa3f1d959ef9d7a52a6914964566f,64,0,603f0c07,fa043e81,940e3cdffffffffe,69,0
ea05bd916426337900d6684d55255109,64,0,1f4003e8,f9fc3e7f,95ed3ffeffbffffe,55,0
e1b81def0e6f1023de9eca12f2a34009,64,0,18470308,f9c43e71,d87b7633ff3effbe,61,0
8ab4039a8c0e2bb850ba54c7e5f5a053,64,0,07d800fb,f938be4e,12e02ffefffeffbc,59,0
d57b1f1a3ff577abe010b3d14068ed6f,64,0,267904cf,f8343e0d,80a9bef7ff7ffffe,71,0
94c8f97893fa3d67da2049b9ef547993,64,0,c51b18a3,f720bdc8,07303cbbffbffffe,69,1
d2a38b1cb8531179fb94f3686fa1e4d9,64,0,9fc113f8,f5f43d7d,1b9fb5bf7fbefffe,67,0
b9af95693a322ae275b06dbd78f70483,64,0,805e100b,f508bd42,63ebacbfbfbeeffe,67,0
fd9a0a4665a5bbcd8c2da2915c541389,64,0,5e000bc0,f3fc3cff,d1493bf3febeffbc,61,0
cc71062ffa2051ef98b5ced9df169c4f,64,0,401e0803,f30c3cc3,f8d336fbecffdffa,69,0
a25516c6d65ee7de3c874587f9c95eb5,64,0,7fa10ff4,f2f0bcbc,040bb77b7ffffffe,71,1
846a08a66b213b3a46038b5be58859d3,64,0,00de001b,f108bc42,cf0e67ff7ffffffe,57,0
b564d6c08a5a392359c7af944aaebd63,64,0,23fd047f,f010bc04,25674ebfff7fffbe,65,1
ce76f0415cb6643aac87bd20f1da924f,64,0,c19c1833,ef1c3bc7,d79033fffdffdfbc,65,0
a0b732a70e363a3003e97ef9fb613bc3,64,0,c31e1863,ef08bbc2,f00e1efbffbfffbe,67,0
a380620381f0e6e1229ba73a9ada1fc3,64,0,c21f1843,ef00bbc0,0d245fffd7fdfffe,59,1
ad15cce145a64811d6c510ee0cd52c63,64,0,e5381ca7,ee38bb8e,20202ff4ffffdffa,57,0
a4f681d45bd1d67ad0a4c74c0f05b723,64,0,66bb0cd7,ea20ba88,9b3dbef7fffdfffe,63,0
d569a1e1ce24413deeecdd9d5c80a30f,64,0,035e006b,e90c3a43,2ab066f7ffbfeffe,65,0
d8cb5fa785b4331c3bc0b38aab34b4af,64,0,257804af,e83c3a0f,8743fb3ffcfffffe,67,0
a019457653b16c79ea525e3641779a95,64,0,de021bc0,e7e8b9fa,8f72ffdfdfb7fffe,63,0
cb155b03d1d057e26476c0e356217acf,64,0,c19d1833,e71439c5,e123b47fed7ffffe,63,1
f29175bfd524aa7084889fb03f3aab7f,64,0,e4b81c97,e63c398f,1c08f9ffeffffffe,69,0
a87667a3c8c07bc91e346d2dab2ec4e3,64,0,e5391ca7,e630b98c,c02ba2bbee7ffffe,65,1
ebd0c954338832461eca8af03636107f,64,0,a2fe145f,e40c3903,c1f1033fff3effbc,59,0
